NOMBRE COMERCIAL,DIRECCION,Longitud,Latitud,Costo
A & M Medical,JirÃ³n Chancay 627  Cercado de Lima 15001  Peru,-77.0386101,-12.0460931,Costoso
ACYL KINDER,CALLE FEDERICO VILLARREAL 324,-77.0363235,-12.0507013,Costoso
Agente BBVA Botica Ahorro Y Salud,Pastor Bravo 198  San MartÃ­n de Porres 15102  Peru,-77.0448435,-12.0326313,Costoso
Ahorro Farma,Av.2 De Octubre Mz. M Lt. 2  LIMA 15307  Peru,-77.0795383,-11.9486526,Costoso
AIC MEDICAL S.A.C.,CALLE SAN PEDRO 1068  SAN BORJA,-77.0497364,-12.0389011,Costoso
AIHEC S.A.C.,AV. BRASIL 2760 DPTO. 1502,-77.0373791,-12.0574935,Costoso
ALCIMARS MEDIC SAC,JirÃ³n Moquegua 613  Cercado de Lima 15001  Peru,-77.0392646,-12.0467145,Costoso
ALFA LAVAL SA,Megacentro Lurin interior D  Peru,-76.8880548,-12.2718612,Costoso
ALIALEX S.A.C.,CALLE JUAN GRIS # 136,-77.0867569,-12.0782809,Costoso
ALL PHARM,AV.EMANCIPACION 184 INT.305,-77.0646418,-12.0778202,Costoso
ALMACEN ESPECIALIZADO DE MEDICAMENTOS,JR. HUASCARAN 512,-77.048571,-12.109154,Costoso
ALMACEN ESPECIALIZADO DE MEDICAMENTOS DE LA DIR.SALUD III,AV. INDEPENDENCIA 1837  VILLACAMPA,-77.070871,-12.054632,Costoso
ALMACEN ESPECIALIZADO DE MEDICAMENTOS DISA II LIMA SUR,AV. SANTA ANITA  MZ. L-1,-77.0466738,-12.055157,Costoso
Altez Farma,Tacna 3301a  Cercado de Lima 15106  Peru,-77.0841487,-12.0344758,Costoso
AmÃ©rica Salud,Avenida Comandante Espinar 830  Miraflores 15074  Peru,-77.0366754,-12.1113834,Costoso
America Salud,Av. Parque Gonzales Prada  Magdalena del Mar 15076  Peru,-77.0644221,-12.0913863,Costoso
American Health - Botica,Armendariz  Cercado de Lima 15074  Peru,-77.0282223,-12.132549,Costoso
AMERICAN ORTHODONTICS PERU S.A.C.,CALLE MONTE ROSA 255 INT. 504 CHACARILLA DEL ESTANQUE,-77.0382095,-12.0461965,Costoso
AMV TRADING S.A.C.,AV. LOS CISNES  MZ. E2,-77.028231,-12.0584765,Costoso
Angisa,Av Guzman Blanco 375  Cercado de Lima 15046  Peru,-77.0400659,-12.0626451,Costoso
ANGLO TRADING S.A.C.,AV. RICARDO PALMA 1041 INT.B,-77.0944546,-12.0721274,Costoso
ANRIC MEDIC DRUGSTORE,Calle Cristobal de Mena 177  San Miguel 15087  Peru,-77.0875671,-12.0807723,Costoso
Antiques El Portal.,Miraflores 15074  Peru,-77.0267805,-12.1181744,Costoso
ARMESSO S.A.C.,CALLE VICTOR MAURTUA 131 INT.303,-77.0426561,-12.0510511,Costoso
ASSI MARKET,AV. AVIACION 3231,-77.0715284,-12.088492,Costoso
ASTRA MEDICAL - BOTICA INT. NÂ° 105,JirÃ³n Chancay 651  Cercado de Lima 15001  Peru,-77.0388839,-12.0464214,Costoso
ASTRAZENECA PERU S.A.,AV. EL DERBY 055 DPTO. 503,-77.096594,-12.0827647,Costoso
ASTRIT,AV. PASEO DE LA REPUBLICA 5076,-77.0464784,-12.0632579,Costoso
AUDICION S.A.C.,CALLE MORELLI 217 DPTO. 305,-77.031682,-12.0584552,Costoso
autoservicio en farmacia,Av. Alfredo Benavides 335  Lima 15074  Peru,-77.0302084,-12.1243358,Costoso
autoservicio en farmacia,Edificio El Sur  Pje. los Pinos  Miraflores 15074  Peru,-77.0307857,-12.123727,Costoso
Bayer S.A.,calle las 15046  Calle Las Begonias 475  Cercado de Lima  Peru,-77.0244266,-12.0934352,Costoso
BELL MED S.A.C.,JR. CUTERVO 1916,-77.0644221,-12.0913863,Costoso
BELOMED S.R.L.,CALLE JUANA RIOFRIO 153 INT. 1 - 2 PANDO,-77.0795383,-11.9486526,Costoso
BEST LIFE,CALLE EL CARMELO # 228,-77.0421694,-12.0497548,Costoso
Biamish,Calle 6 6  Cercado de Lima 15011  Peru,-76.92384,-12.216917,Costoso
BIOGAM S.A.C.,AV. PETIT THOUARS # 4476,-77.035732,-12.0498978,Costoso
BIOLIFE PERU S.A.C.,AV. ARAMBURU 715,-77.050425,-12.043779,Costoso
Blancosac Importaciones SAC,Avenida EmancipaciÃ³n 325  Cercado de Lima 15001  Peru,-77.0359343,-12.0475487,Costoso
BLUEFARMA S.A.C.,JR. ANTONIO MIROQUEZADA 806 INT. 401-A,-77.0945021,-12.0722847,Costoso
BMC Farma,Av Brigida Silva de Ochoa 174  Lima 15087  Peru,-77.0892669,-12.08301,Costoso
Boehringer Ingelheim,Av. Canaval Moreyra 480  Cercado de Lima 15036  Peru,-77.0207081,-12.0975863,Costoso
BOTICA  MIFARMA,AV. MIGUEL DASSO Nº 193 - 195 - 197,-77.0194727,-12.100626,Economico
BOTICA & SALUD,PSJ. EL MOLINO 111  C.C. MONTERRICO,-77.09141209,-12.07512599,Economico
BOTICA & SALUD,AV. PRIMAVERA 266 INT. 106 - 205 CHACARILLA D,-77.03020344,-12.10877766,Economico
BOTICA & SALUD,AV. CAMINOS DEL INCA 1528 INT. 104 LAS GARDENIAS,-76.9868812,-12.1105115,Economico
BOTICA & SALUD,AV. LA ENCALADA 1587 104 CENTRO COEMRCIAL,-77.0385654,-12.0899016,Economico
BOTICA & SALUD,AV. EL SOL 154  SAN ROQUE,-77.02339566,-12.08890753,Economico
BOTICA & SALUD,CALLE RICARDO ELIAS APARICIO 781  ALAMEDA DE,-76.99827141,-12.1153289,Economico
BOTICA 2000,Av. Abancay 958  Cercado de Lima 15001  Peru,-77.0305109,-12.0561191,Costoso
BOTICA 2000,AV. ABANCAY 958,-77.042754,-12.0463731,Costoso
BOTICA 24 HORAS,AV.MALECON JOSE GALVEZ 601,-77.0301699,-12.1059242,Costoso
BOTICA 24 HORAS,CALLE LOS OLIVOS,-77.08124287,-11.99548019,Costoso
Botica 28 de Julio,Av. Alameda  Callao 07026  Peru,-77.1103736,-12.0439084,Costoso
BOTICA 501,AV. UNIVERSITARIA 1299  SANTA LUZMILA,-77.01004899,-12.08472162,Economico
BOTICA 90 GRADOS,AV. JOSE CARLOS MARIATEGUI 2099  SAN GREGORIO,-77.0315964,-12.08374531,Economico
BOTICA A & M,AV. MIGUEL IGLESIAS 971 - A,-77.0377884,-12.07081403,Economico
BOTICA A & S,JR. ANTONIO MIROQUESADA 1068,-77.04171515,-12.07453591,Economico
BOTICA ABM,JR. LOS SAFIROS  MZ. B  LTE. 1 ANGELICA GAMARRA I ETAPA,-76.9959047,-12.0814374,Economico
BOTICA ACUARIO,AV. GENERAL VIDAL 845,-77.02922142,-12.12410615,Economico
BOTICA ACUARIO,JR LAS CALEZAS 127,-77.0651166,-11.9899071,Costoso
BOTICA ADESI,A.H. SEÑOR DE LOS MILAGROS  MZ.C,-77.0158637,-11.9957864,Economico
BOTICA AGUFARMA,CALLE K  MZ.M,-77.0433316,-11.9569237,Costoso
BOTICA ALARCON,ASOC. MILAGROSA CRUZ DE MOTUPE LIMA NOR MZ. A,-77.06792,-12.088689,Economico
BOTICA ALBERT,AV. LAS FLORES DE PRIMAVERA 1525  LAS FLORES,-77.06067301,-11.95544703,Costoso
BOTICA ALCON,AV. SANTA ROSA  MZ.E,-77.03619517,-12.0873352,Economico
BOTICA ALESSANDRA,ANTIGUA PANAMERICANA SUR,-77.002793,-12.122909,Costoso
BOTICA ALESUZELY,CALLE BEETHOVEN 498,-76.993894,-12.0803043,Economico
BOTICA ALFALUX,JR. TOMAS GUIDO 235,-77.0613677,-12.03979639,Economico
BOTICA ALFALUX,AV. GUILLERMO PRESCOTT 296,-77.0527159,-11.945521,Costoso
BOTICA ALIZA,AV MARAÑON 698  VILLA DEL NORTE,-77.0401638,-11.9412286,Costoso
BOTICA ALLISON,AV. 4 DE NOVIEMBRE 26  PAYET,-77.03900612,-12.05957334,Economico
BOTICA ALSTER,AV. MERINO REYNA  Nº 603 P.J. RAUL PORRAS BARRENECHEA,-77.01983841,-12.11935196,Economico
BOTICA AMERICA SALUD,AV. COMANDANTE ESPINAR 830,-77.00426615,-11.97596878,Economico
BOTICA AMERICA SALUD S.A.C.,AV. RAUL FERRERO 1155  EL REMANZO II ETAPA,-77.00834847,-12.09140436,Economico
BOTICA AMERICA SALUD S.A.C.,AV. AVIACION 2958,-77.0511007,-12.0249259,Costoso
BOTICA AMERICAN FARMA,JR. AREQUIPA 271,-77.08013017,-11.93721343,Costoso
BOTICA AMERICANA,AV. LAS TORRES  LT. 13 - B LA CAPITANA,-77.0182866,-12.0907032,Economico
BOTICA AMISTAD,AV. TUPAC AMARU Nº 568 A KM 8 1/2 P.J. VILLA CLORINDA,-77.03277267,-12.08603563,Economico
BOTICA AMISTAD,AV. JOSE GABRIEL CONDORCANQUI 972  TUPAC AMARU,-77.06483579,-12.0910398,Economico
BOTICA AMY,AV. CENTRAL  MZ.R-10,-77.0430046,-12.0958298,Economico
BOTICA ANA MARIA,AV. UNION  MZ. 2 - E,-77.0395181,-11.9138337,Costoso
BOTICA ANA ROSS,GRUPO. 13,-77.013359,-12.0950449,Economico
BOTICA ANAPHARMA,CALLE 28 DE JULIO MZ. P 1,-77.0590846,-12.0685383,Costoso
BOTICA ANDERSON,AV. HUAROCHIRI  MZ.D-8,-77.05008364,-12.05840872,Economico
BOTICA ANGAMOS,AV. REPUBLICA DE PANAMA 4738,-77.01530076,-11.99737445,Economico
BOTICA ANGEL,AV. NEPOMUCENO VARGAS 562,-77.0367488,-12.1164013,Economico
BOTICA ANGEL DE JESUS,AV GERMAN AGUIRRE 865  SAN GERMAN,-77.06351402,-12.00645874,Costoso
BOTICA ANGEL JESUS,AV. WIESE  MZ. N-7,-76.98839552,-11.96365093,Economico
BOTICA ANGEL SALVADOR,AV. SEPARADORA INDUSTRIAL,-77.076977,-11.9914139,Costoso
BOTICA ANGELES,AV. TUPAC AMARU 7201  MESA REDONDA,-77.03417569,-12.08930237,Economico
BOTICA ANGELICA,AV. HORACIO ZEVALLOS 369,-77.06483675,-11.98960537,Costoso
BOTICA ANGELINA,AV GERARDO UNGER Nº 1019 ASOCIACION INQUILINOS DE PIÑONATE (FTE PTA 6 DE LA UNI),-77.0646719,-11.9908778,Costoso
BOTICA ANGELITA,CALLE NUEVA ,-77.001836,-12.129049,Economico
BOTICA ANITA,JR. CRESPO Y CASTILLO 2559  MIRONES BAJO,-77.03290322,-12.04699842,Economico
BOTICA ANITA,URB.SANTA ANA  MZ. J  LTE. 23 SANTA ANA,-77.0101937,-12.1277657,Economico
BOTICA ANNIE,PAMPLONA ALTA  MZ. B - 6,-77.02097095,-12.05271144,Economico
BOTICA ANSELMO,AV. SANTA ROSA Nº 1381 A MZ. 69,-77.0425949,-12.0509172,Costoso
BOTICA ANTHONY,PROGRAMA RESIDENCIAL LOS JARDINES MZ. A,-77.07320308,-11.99115958,Costoso
BOTICA ANTONIO,JR. HUASCARAN 415  COLLIQUE II ZONA,-77.10206754,-12.07300021,Economico
BOTICA AÑO NUEVO E.I.R.L.,AV. MIGUEL GRAU 332  AÑO NUEVO,-77.0347223,-12.0845123,Economico
BOTICA APOSTOL SANTIAGO,AV. CESAR VALLEJO 1425  COOP. TAYACAJA,-77.05474935,-12.10640318,Economico
Botica Arcangel,Av. Alfonso Ugarte 298  Cercado de Lima 15079  Peru,-77.043345,-12.042784,Costoso
BOTICA ARESVA,AV. MONTE DE LOS OLIVOS  MZ. G - 3,-77.0695756,-12.0546983,Costoso
BOTICA ARRIBA PERU,AV. 16 DE MARZO Nº 200 P.J. JOSE GALVEZ,-77.07445794,-12.07481668,Economico
BOTICA AVE FENIX,CALLE FELIPE MENDIZABAL MZ. W,-76.9749709,-11.9408268,Economico
BOTICA B & F DE SMP,CALLE SANTA CARMELA 131  PALAO,-76.9771577,-11.7667755,Costoso
BOTICA B.J. ESCARDO,AV. RAFAEL ESCARDO 411  MARANGA,-77.0255313,-12.0885477,Economico
BOTICA BAEZ,CALLE JOSE CARLOS MARIATEGUI  MZ.B,-77.029759,-12.1067553,Economico
BOTICA BAJO EL PUENTE,MALECON GARCIA RIBEYRO 118,-77.0362967,-12.1221495,Economico
BOTICA BDB S.A.C.,AV SANTA MERCEDES 308  URB PALAO 1RA ETAPA,-77.0660911,-12.0233352,Costoso
BOTICA BELEN,CALLE LOS HUERTOS  MZ.5,-76.9957696,-12.1096109,Economico
